Description,G1_vertices,G1_edges,G1_density,G2_vertices,G2_edges,G2_density,Exact_result,Exact_elapsed_ms,Exact_distance,GVF2_1_result,GVF2_1_elapsed_ms,GVF2_1_distance,GVF2_10_result,GVF2_10_elapsed_ms,GVF2_10_distance,GVF2_100_result,GVF2_100_elapsed_ms,GVF2_100_distance,GVF2_500_result,GVF2_500_elapsed_ms,GVF2_500_distance
hamilton cycle and nothing else,120,120,1,84,84,1,Timeout,30000,-1,Success,0.4683,0.30833333333333335,Success,3.2008,0.30833333333333335,Success,33.9963,0.30833333333333335,Success,173.7535,0.30833333333333335
hamilton cycle and nothing else,130,130,1,91,91,1,Timeout,30000,-1,Success,0.4893,0.3076923076923077,Success,4.0288,0.3076923076923077,Success,46.6526,0.3076923076923077,Success,200.7511,0.3076923076923077
hamilton cycle and nothing else,140,140,1,98,98,1,Timeout,30000,-1,Success,0.5621,0.30714285714285716,Success,4.0879,0.30714285714285716,Success,45.4854,0.30714285714285716,Success,224.9291,0.30714285714285716
hamilton cycle and nothing else,150,150,1,105,105,1,Timeout,30000,-1,Success,0.6775,0.30666666666666664,Success,5.6264,0.30666666666666664,Success,54.7698,0.30666666666666664,Success,261.5712,0.30666666666666664
hamilton cycle and nothing else,160,160,1,112,112,1,Timeout,30000,-1,Success,0.7198,0.30625,Success,6.508,0.30625,Success,62.3476,0.30625,Success,294.8847,0.30625
hamilton cycle and nothing else,170,170,1,118,118,1,Timeout,30000,-1,Success,0.7732,0.31176470588235294,Success,6.6963,0.31176470588235294,Success,65.4271,0.31176470588235294,Success,320.1719,0.31176470588235294
hamilton cycle and nothing else,180,180,1,125,125,1,Timeout,30000,-1,Success,0.8262,0.3111111111111111,Success,6.994,0.3111111111111111,Success,74.4854,0.3111111111111111,Success,355.2548,0.3111111111111111
hamilton cycle and nothing else,190,190,1,133,133,1,Timeout,30000,-1,Success,0.9407,0.3052631578947368,Success,8.2594,0.3052631578947368,Success,82.1394,0.3052631578947368,Success,411.8922,0.3052631578947368
hamilton cycle and nothing else,200,200,1,140,140,1,Timeout,30000,-1,Success,1.0056,0.30500000000000005,Success,8.5081,0.30500000000000005,Success,95.3541,0.30500000000000005,Success,440.8773,0.30500000000000005
hamilton cycle and nothing else,210,210,1,147,147,1,Timeout,30000,-1,Success,1.1145,0.3047619047619048,Success,9.4226,0.3047619047619048,Success,102.8834,0.3047619047619048,Success,480.1631,0.3047619047619048
hamilton cycle and nothing else,220,220,1,154,154,1,Timeout,30000,-1,Success,1.2032,0.30454545454545456,Success,10.989,0.30454545454545456,Success,114.4447,0.30454545454545456,Success,563.8772,0.30454545454545456
hamilton cycle and nothing else,230,230,1,161,161,1,Timeout,30000,-1,Success,1.2427,0.30434782608695654,Success,11.4422,0.30434782608695654,Success,123.4528,0.30434782608695654,Success,578.0284,0.30434782608695654
hamilton cycle and nothing else,240,240,1,168,168,1,Timeout,30000,-1,Success,1.4265,0.3041666666666667,Success,14.5382,0.3041666666666667,Success,132.6748,0.3041666666666667,Success,628.7795,0.3041666666666667
hamilton cycle and nothing else,250,250,1,175,175,1,Timeout,30000,-1,Success,1.4619,0.30400000000000005,Success,13.8237,0.30400000000000005,Success,143.8231,0.30400000000000005,Success,748.3822,0.30400000000000005
hamilton cycle and nothing else,10,10,1,3,3,1,Success,0.5528,0.8,Success,0.1177,0.8,Success,0.1017,0.8,Success,0.6171,0.8,Success,2.8172,0.8
hamilton cycle and nothing else,20,20,1,6,6,1,Timeout,30000,-1,Success,0.032,0.75,Success,0.1255,0.75,Success,0.8156,0.75,Success,4.2091,0.75
hamilton cycle and nothing else,30,30,1,9,9,1,Timeout,30000,-1,Success,0.0702,0.7333333333333334,Success,0.1398,0.7333333333333334,Success,1.2902,0.7333333333333334,Success,6.6326,0.7333333333333334
hamilton cycle and nothing else,40,40,1,12,12,1,Timeout,30000,-1,Success,0.0835,0.725,Success,0.2092,0.725,Success,1.9423,0.725,Success,10.1097,0.725
hamilton cycle and nothing else,50,50,1,15,15,1,Timeout,30000,-1,Success,0.0495,0.72,Success,0.2893,0.72,Success,3.0348,0.72,Success,14.6922,0.72
hamilton cycle and nothing else,60,60,1,18,18,1,Timeout,30000,-1,Success,0.1439,0.7166666666666667,Success,0.7346,0.7166666666666667,Success,3.9723,0.7166666666666667,Success,19.6172,0.7166666666666667
hamilton cycle and nothing else,70,70,1,21,21,1,Timeout,30000,-1,Success,0.0948,0.7142857142857143,Success,0.5315,0.7142857142857143,Success,4.7733,0.7142857142857143,Success,25.1257,0.7142857142857143
hamilton cycle and nothing else,80,80,1,24,24,1,Timeout,30000,-1,Success,0.137,0.7125,Success,0.6062,0.7125,Success,6.2017,0.7125,Success,30.3841,0.7125
hamilton cycle and nothing else,90,90,1,27,27,1,Timeout,30000,-1,Success,0.1358,0.7111111111111111,Success,0.9135,0.7111111111111111,Success,8.2703,0.7111111111111111,Success,37.6426,0.7111111111111111
hamilton cycle and nothing else,100,100,1,30,30,1,Timeout,30000,-1,Success,0.1535,0.71,Success,1.2467,0.71,Success,9.1149,0.71,Success,45.7009,0.71
hamilton cycle and nothing else,110,110,1,33,33,1,Timeout,30000,-1,Success,0.139,0.7090909090909091,Success,1.084,0.7090909090909091,Success,10.7788,0.7090909090909091,Success,55.3495,0.7090909090909091
hamilton cycle and nothing else,120,120,1,36,36,1,Timeout,30000,-1,Success,0.202,0.7083333333333333,Success,1.2352,0.7083333333333333,Success,13.2563,0.7083333333333333,Success,65.2987,0.7083333333333333
hamilton cycle and nothing else,130,130,1,39,39,1,Timeout,30000,-1,Success,0.2369,0.7076923076923076,Success,1.3759,0.7076923076923076,Success,13.7776,0.7076923076923076,Success,77.9623,0.7076923076923076
hamilton cycle and nothing else,140,140,1,42,42,1,Timeout,30000,-1,Success,10.4206,0.7071428571428571,Success,10.2738,0.7071428571428571,Success,25.7567,0.7071428571428571,Success,95.8951,0.7071428571428571
hamilton cycle and nothing else,150,150,1,45,45,1,Timeout,30000,-1,Success,0.2365,0.7066666666666667,Success,1.9566,0.7066666666666667,Success,19.3957,0.7066666666666667,Success,94.9976,0.7066666666666667
hamilton cycle and nothing else,160,160,1,48,48,1,Timeout,30000,-1,Success,0.3353,0.70625,Success,2.0923,0.70625,Success,19.1145,0.70625,Success,101.5795,0.70625
hamilton cycle and nothing else,170,170,1,51,51,1,Timeout,30000,-1,Success,0.3261,0.7058823529411764,Success,2.1268,0.7058823529411764,Success,20.7369,0.7058823529411764,Success,115.1187,0.7058823529411764
hamilton cycle and nothing else,180,180,1,54,54,1,Timeout,30000,-1,Success,0.3723,0.7055555555555555,Success,2.4662,0.7055555555555555,Success,24.8919,0.7055555555555555,Success,127.0658,0.7055555555555555
hamilton cycle and nothing else,190,190,1,57,57,1,Timeout,30000,-1,Success,0.4846,0.7052631578947368,Success,2.5933,0.7052631578947368,Success,29.1892,0.7052631578947368,Success,141.2232,0.7052631578947368
hamilton cycle and nothing else,200,200,1,60,60,1,Timeout,30000,-1,Success,0.395,0.7050000000000001,Success,3.0462,0.7050000000000001,Success,28.9476,0.7050000000000001,Success,150.4597,0.7050000000000001
hamilton cycle and nothing else,210,210,1,63,63,1,Timeout,30000,-1,Success,0.5397,0.7047619047619047,Success,3.2282,0.7047619047619047,Success,31.1348,0.7047619047619047,Success,164.1985,0.7047619047619047
hamilton cycle and nothing else,220,220,1,66,66,1,Timeout,30000,-1,Success,0.5549,0.7045454545454546,Success,3.6497,0.7045454545454546,Success,36.05,0.7045454545454546,Success,198.03,0.7045454545454546
hamilton cycle and nothing else,230,230,1,69,69,1,Timeout,30000,-1,Success,0.4627,0.7043478260869565,Success,4.0043,0.7043478260869565,Success,43.0077,0.7043478260869565,Success,202.3913,0.7043478260869565
hamilton cycle and nothing else,240,240,1,72,72,1,Timeout,30000,-1,Success,0.5809,0.7041666666666666,Success,4.2819,0.7041666666666666,Success,43.8387,0.7041666666666666,Success,204.0291,0.7041666666666666
hamilton cycle and nothing else,250,250,1,75,75,1,Timeout,30000,-1,Success,0.6129,0.704,Success,4.4231,0.704,Success,46.1949,0.704,Success,224.875,0.704
